player_name,team_name,Total_Interception
Lucas Moura,Tottenham,0.1
Sam Surridge,Nottingham Forest,0
Jack Stacey,Bournemouth,0.5
Layvin Kurzawa,Fulham,0.7
André Ayew,Nottingham Forest,0
David Brooks,Bournemouth,0.3
Jack Hinshelwood,Brighton,0
Mohamed Elneny,Arsenal,0
Cédric Soares,Arsenal,0
Joe Whitworth,Crystal Palace,0
Morgan Sanson,Aston Villa,0
Ben Pearson,Bournemouth,0.3
Mateo Joseph,Leeds,0
Jamaal Lascelles,Newcastle,0
Bobby Clark,Liverpool,0
Malcolm Ebiowei,Crystal Palace,0
Jonjo Shelvey,Newcastle,0
Junior Stanislas,Bournemouth,0
Halil Dervisoglu,Brentford,0
Lewis Brunt,Leicester,0
Connor Ronan,Wolves,0
Conor Coventry,West Ham,0
David Ozoh,Crystal Palace,0
Emil Krafth,Newcastle,0
Ethan Nwaneri,Arsenal,0
George Abbott,Tottenham,1
Marquinhos,Arsenal,0
Nathan Redmond,Southampton,0
Tyrese Francois,Fulham,0
Naouirou Ahamada,Crystal Palace,0
Djed Spence,Tottenham,0
Joe Hodge,Wolves,0
Emiliano Marcondes,Bournemouth,0
Jamal Lowe,Bournemouth,0
Cameron Archer,Aston Villa,0
Alex McCarthy,Southampton,0.2
Josh Onomah,Fulham,0
Luke Harris,Fulham,0
Dom Ballard,Southampton,0.5
Odeluga Offiah,Brighton,0
Dele Alli,Everton,0
Alex Mighten,Nottingham Forest,0
Jamal Lewis,Newcastle,0
Máximo Perrone,Manchester City,0
Kamari Doyle,Southampton,0
Owen Bevan,Bournemouth,0
Nathaniel Chalobah,Fulham,0
Dexter Lembikisa,Wolves,0
Cameron Peupion,Brighton,0
Andrew Moran,Brighton,0
Shane Duffy,Fulham,0
Yan Valery,Southampton,0
